Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2000","2000","1000 USD","181796","A","Official figure",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2000","2000","1000 USD","52276","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2001","2001","1000 USD","170423","A","Official figure",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2001","2001","1000 USD","36587","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2002","2002","1000 USD","174679","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2002","2002","1000 USD","40494","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2003","2003","1000 USD","233876","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2003","2003","1000 USD","32652","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2004","2004","1000 USD","320050","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2004","2004","1000 USD","52546","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2005","2005","1000 USD","295802","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2005","2005","1000 USD","54880","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2006","2006","1000 USD","307959","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2006","2006","1000 USD","54160","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2007","2007","1000 USD","400033","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2007","2007","1000 USD","94634","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2008","2008","1000 USD","565721","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2008","2008","1000 USD","73493","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2009","2009","1000 USD","702153","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2009","2009","1000 USD","101684","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2010","2010","1000 USD","908957","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2010","2010","1000 USD","92667","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2011","2011","1000 USD","766621","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2011","2011","1000 USD","89140","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2012","2012","1000 USD","583852","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2012","2012","1000 USD","83842","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5622","Import value","1659","Wood and paper products (export/import)","2013","2013","1000 USD","743864","E","Estimated value",""
"FO","Forestry Production and Trade","566","Nigeria","5922","Export value","1659","Wood and paper products (export/import)","2013","2013","1000 USD","127678","E","Estimated value",""
