sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4988;pms5003;3627;6.515;3.400;2026-05-01T00:00:21+00:00;P2;7
4988;pms5003;3627;6.515;3.400;2026-05-01T00:00:21+00:00;P1;8
4988;pms5003;3627;6.515;3.400;2026-05-01T00:00:21+00:00;P0;5
4989;DHT22;3627;6.515;3.400;2026-05-01T00:00:23+00:00;humidity;90.4
4989;DHT22;3627;6.515;3.400;2026-05-01T00:00:23+00:00;temperature;29.3
4988;pms5003;3627;6.515;3.400;2026-05-01T00:05:58+00:00;P2;8
4988;pms5003;3627;6.515;3.400;2026-05-01T00:05:58+00:00;P1;8
4988;pms5003;3627;6.515;3.400;2026-05-01T00:05:58+00:00;P0;5
4989;DHT22;3627;6.515;3.400;2026-05-01T00:06:00+00:00;humidity;90.2
4989;DHT22;3627;6.515;3.400;2026-05-01T00:06:00+00:00;temperature;29.3
4988;pms5003;3627;6.515;3.400;2026-05-01T00:11:34+00:00;P2;8
4988;pms5003;3627;6.515;3.400;2026-05-01T00:11:34+00:00;P1;8
4988;pms5003;3627;6.515;3.400;2026-05-01T00:11:34+00:00;P0;6
4989;DHT22;3627;6.515;3.400;2026-05-01T00:11:36+00:00;humidity;90.5
4989;DHT22;3627;6.515;3.400;2026-05-01T00:11:36+00:00;temperature;29.2
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P2;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P1;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P0;7
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P2;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P1;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P0;7
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P2;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P1;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P0;7
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P2;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P1;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P0;7
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P2;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P1;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P0;7
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P2;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P1;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P0;7
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P2;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P1;10
4988;pms5003;3627;6.515;3.400;2026-05-01T00:23:06+00:00;P0;7
4989;DHT22;3627;6.515;3.400;2026-05-01T00:23:08+00:00;humidity;91.4
4989;DHT22;3627;6.515;3.400;2026-05-01T00:23:08+00:00;temperature;29.1
4989;DHT22;3627;6.515;3.400;2026-05-01T00:23:08+00:00;humidity;91.4
4989;DHT22;3627;6.515;3.400;2026-05-01T00:23:08+00:00;temperature;29.1
4989;DHT22;3627;6.515;3.400;2026-05-01T00:23:08+00:00;humidity;91.4
4989;DHT22;3627;6.515;3.400;2026-05-01T00:23:08+00:00;temperature;29.1
4989;DHT22;3627;6.515;3.400;2026-05-01T00:23:08+00:00;humidity;91.4
4989;DHT22;3627;6.515;3.400;2026-05-01T00:23:08+00:00;temperature;29.1
4989;DHT22;3627;6.515;3.400;2026-05-01T00:23:08+00:00;humidity;91.4
4989;DHT22;3627;6.515;3.400;2026-05-01T00:23:08+00:00;temperature;29.1
4989;DHT22;3627;6.515;3.400;2026-05-01T00:23:08+00:00;humidity;91.4
4989;DHT22;3627;6.515;3.400;2026-05-01T00:23:08+00:00;temperature;29.1
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P2;11
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P1;12
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P0;6
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P2;11
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P1;12
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P0;6
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P2;11
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P1;12
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P0;6
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P2;11
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P1;12
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P0;6
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P2;11
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P1;12
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P0;6
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P2;11
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P1;12
4988;pms5003;3627;6.515;3.400;2026-05-01T00:28:43+00:00;P0;6
