sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4856;DHT22;3629;6.428;3.435;2025-10-01T05:44:19.670204+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T05:44:19.670204+00:00;temperature;22.10
4855;pms5003;3629;6.428;3.435;2025-10-01T05:46:59.614385+00:00;P2;5.00
4855;pms5003;3629;6.428;3.435;2025-10-01T05:46:59.614385+00:00;P1;5.00
4855;pms5003;3629;6.428;3.435;2025-10-01T05:46:59.614385+00:00;P0;4.00
4856;DHT22;3629;6.428;3.435;2025-10-01T05:47:09.853377+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T05:47:09.853377+00:00;temperature;22.40
4855;pms5003;3629;6.428;3.435;2025-10-01T05:49:49.927837+00:00;P2;3.67
4855;pms5003;3629;6.428;3.435;2025-10-01T05:49:49.927837+00:00;P1;4.00
4855;pms5003;3629;6.428;3.435;2025-10-01T05:49:49.927837+00:00;P0;2.67
4856;DHT22;3629;6.428;3.435;2025-10-01T05:50:00.143123+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T05:50:00.143123+00:00;temperature;22.50
4855;pms5003;3629;6.428;3.435;2025-10-01T05:52:39.972934+00:00;P2;4.00
4855;pms5003;3629;6.428;3.435;2025-10-01T05:52:39.972934+00:00;P1;5.00
4855;pms5003;3629;6.428;3.435;2025-10-01T05:52:39.972934+00:00;P0;3.00
4856;DHT22;3629;6.428;3.435;2025-10-01T05:52:50.209237+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T05:52:50.209237+00:00;temperature;22.60
4855;pms5003;3629;6.428;3.435;2025-10-01T05:55:30.063900+00:00;P2;5.33
4855;pms5003;3629;6.428;3.435;2025-10-01T05:55:30.063900+00:00;P1;5.67
4855;pms5003;3629;6.428;3.435;2025-10-01T05:55:30.063900+00:00;P0;3.33
4856;DHT22;3629;6.428;3.435;2025-10-01T05:55:40.312286+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T05:55:40.312286+00:00;temperature;22.70
4855;pms5003;3629;6.428;3.435;2025-10-01T05:58:20.171069+00:00;P2;5.00
4855;pms5003;3629;6.428;3.435;2025-10-01T05:58:20.171069+00:00;P1;6.00
4855;pms5003;3629;6.428;3.435;2025-10-01T05:58:20.171069+00:00;P0;4.00
4856;DHT22;3629;6.428;3.435;2025-10-01T05:58:30.434588+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T05:58:30.434588+00:00;temperature;22.70
4855;pms5003;3629;6.428;3.435;2025-10-01T06:01:10.372727+00:00;P2;5.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:01:10.372727+00:00;P1;5.50
4855;pms5003;3629;6.428;3.435;2025-10-01T06:01:10.372727+00:00;P0;4.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:01:20.673194+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:01:20.673194+00:00;temperature;22.80
4855;pms5003;3629;6.428;3.435;2025-10-01T06:04:00.551067+00:00;P2;6.33
4855;pms5003;3629;6.428;3.435;2025-10-01T06:04:00.551067+00:00;P1;7.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:04:00.551067+00:00;P0;4.33
4856;DHT22;3629;6.428;3.435;2025-10-01T06:04:10.750346+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:04:10.750346+00:00;temperature;23.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:06:50.598870+00:00;P2;5.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:06:50.598870+00:00;P1;5.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:06:50.598870+00:00;P0;4.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:07:00.831413+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:07:00.831413+00:00;temperature;23.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:09:40.673745+00:00;P2;6.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:09:40.673745+00:00;P1;6.50
4855;pms5003;3629;6.428;3.435;2025-10-01T06:09:40.673745+00:00;P0;4.75
4856;DHT22;3629;6.428;3.435;2025-10-01T06:09:50.936011+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:09:50.936011+00:00;temperature;23.10
4855;pms5003;3629;6.428;3.435;2025-10-01T06:12:30.913660+00:00;P2;5.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:12:30.913660+00:00;P1;5.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:12:30.913660+00:00;P0;4.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:12:41.133546+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:12:41.133546+00:00;temperature;23.20
4855;pms5003;3629;6.428;3.435;2025-10-01T06:15:20.953426+00:00;P2;5.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:15:20.953426+00:00;P1;7.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:15:20.953426+00:00;P0;3.50
4856;DHT22;3629;6.428;3.435;2025-10-01T06:15:31.193548+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:15:31.193548+00:00;temperature;23.10
4855;pms5003;3629;6.428;3.435;2025-10-01T06:18:11.015205+00:00;P2;6.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:18:11.015205+00:00;P1;6.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:18:11.015205+00:00;P0;5.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:18:21.253083+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:18:21.253083+00:00;temperature;23.20
4855;pms5003;3629;6.428;3.435;2025-10-01T06:21:01.115245+00:00;P2;6.25
4855;pms5003;3629;6.428;3.435;2025-10-01T06:21:01.115245+00:00;P1;6.25
4855;pms5003;3629;6.428;3.435;2025-10-01T06:21:01.115245+00:00;P0;5.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:21:11.358725+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:21:11.358725+00:00;temperature;23.20
4855;pms5003;3629;6.428;3.435;2025-10-01T06:23:51.211472+00:00;P2;7.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:23:51.211472+00:00;P1;7.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:23:51.211472+00:00;P0;4.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:24:01.452561+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:24:01.452561+00:00;temperature;23.20
4855;pms5003;3629;6.428;3.435;2025-10-01T06:26:41.333819+00:00;P2;6.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:26:41.333819+00:00;P1;6.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:26:41.333819+00:00;P0;5.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:26:51.595453+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:26:51.595453+00:00;temperature;23.20
4855;pms5003;3629;6.428;3.435;2025-10-01T06:29:31.435655+00:00;P2;7.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:29:31.435655+00:00;P1;7.00
4855;pms5003;3629;6.428;3.435;2025-10-01T06:29:31.435655+00:00;P0;5.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:29:41.671519+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T06:29:41.671519+00:00;temperature;23.30
4855;pms5003;3629;6.428;3.435;2025-10-01T17:27:52.801702+00:00;P2;6.40
4855;pms5003;3629;6.428;3.435;2025-10-01T17:27:52.801702+00:00;P1;8.00
4855;pms5003;3629;6.428;3.435;2025-10-01T17:27:52.801702+00:00;P0;5.00
4856;DHT22;3629;6.428;3.435;2025-10-01T17:28:02.819589+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T17:28:02.819589+00:00;temperature;27.70
4855;pms5003;3629;6.428;3.435;2025-10-01T17:30:45.921423+00:00;P2;5.75
4855;pms5003;3629;6.428;3.435;2025-10-01T17:30:45.921423+00:00;P1;5.75
4855;pms5003;3629;6.428;3.435;2025-10-01T17:30:45.921423+00:00;P0;4.00
4856;DHT22;3629;6.428;3.435;2025-10-01T17:30:56.501117+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-01T17:30:56.501117+00:00;temperature;27.60
4856;DHT22;3629;6.428;3.435;2025-10-03T05:28:47.670320+00:00;humidity;100.00
4856;DHT22;3629;6.428;3.435;2025-10-03T05:28:47.670320+00:00;temperature;26.70
4855;pms5003;3629;6.428;3.435;2025-10-03T05:31:28.071740+00:00;P2;4.00
4855;pms5003;3629;6.428;3.435;2025-10-03T05:31:28.071740+00:00;P1;4.00
