sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4851;pms5003;4025;6.530;3.399;2026-08-01T00:00:13.546707+00:00;P2;44.50
4851;pms5003;4025;6.530;3.399;2026-08-01T00:00:13.546707+00:00;P1;55.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:00:13.546707+00:00;P0;26.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:00:27.308284+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:00:27.308284+00:00;temperature;26.30
4851;pms5003;4025;6.530;3.399;2026-08-01T00:01:19.229630+00:00;P2;40.75
4851;pms5003;4025;6.530;3.399;2026-08-01T00:01:19.229630+00:00;P1;48.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:01:19.229630+00:00;P0;25.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:01:32.722367+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:01:32.722367+00:00;temperature;26.30
4851;pms5003;4025;6.530;3.399;2026-08-01T00:02:24.924538+00:00;P2;40.67
4851;pms5003;4025;6.530;3.399;2026-08-01T00:02:24.924538+00:00;P1;47.67
4851;pms5003;4025;6.530;3.399;2026-08-01T00:02:24.924538+00:00;P0;25.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:02:39.387047+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:02:39.387047+00:00;temperature;26.20
4851;pms5003;4025;6.530;3.399;2026-08-01T00:03:31.728840+00:00;P2;41.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:03:31.728840+00:00;P1;48.75
4851;pms5003;4025;6.530;3.399;2026-08-01T00:03:31.728840+00:00;P0;23.50
4852;DHT22;4025;6.530;3.399;2026-08-01T00:03:45.155568+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:03:45.155568+00:00;temperature;26.20
4851;pms5003;4025;6.530;3.399;2026-08-01T00:04:37.130717+00:00;P2;39.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:04:37.130717+00:00;P1;46.25
4851;pms5003;4025;6.530;3.399;2026-08-01T00:04:37.130717+00:00;P0;23.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:04:51.111779+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:04:51.111779+00:00;temperature;26.20
4851;pms5003;4025;6.530;3.399;2026-08-01T00:05:42.545407+00:00;P2;35.50
4851;pms5003;4025;6.530;3.399;2026-08-01T00:05:42.545407+00:00;P1;42.50
4851;pms5003;4025;6.530;3.399;2026-08-01T00:05:42.545407+00:00;P0;23.50
4852;DHT22;4025;6.530;3.399;2026-08-01T00:05:56.704702+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:05:56.704702+00:00;temperature;26.20
4851;pms5003;4025;6.530;3.399;2026-08-01T00:06:48.866288+00:00;P2;37.33
4851;pms5003;4025;6.530;3.399;2026-08-01T00:06:48.866288+00:00;P1;47.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:06:48.866288+00:00;P0;23.33
4852;DHT22;4025;6.530;3.399;2026-08-01T00:07:02.468236+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:07:02.468236+00:00;temperature;26.20
4851;pms5003;4025;6.530;3.399;2026-08-01T00:07:54.141262+00:00;P2;38.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:07:54.141262+00:00;P1;44.75
4851;pms5003;4025;6.530;3.399;2026-08-01T00:07:54.141262+00:00;P0;22.50
4852;DHT22;4025;6.530;3.399;2026-08-01T00:08:07.906711+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:08:07.906711+00:00;temperature;26.20
4851;pms5003;4025;6.530;3.399;2026-08-01T00:09:00.368148+00:00;P2;39.50
4851;pms5003;4025;6.530;3.399;2026-08-01T00:09:00.368148+00:00;P1;47.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:09:00.368148+00:00;P0;23.50
4852;DHT22;4025;6.530;3.399;2026-08-01T00:09:13.646889+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:09:13.646889+00:00;temperature;26.20
4851;pms5003;4025;6.530;3.399;2026-08-01T00:10:04.547730+00:00;P2;41.75
4851;pms5003;4025;6.530;3.399;2026-08-01T00:10:04.547730+00:00;P1;49.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:10:04.547730+00:00;P0;24.25
4852;DHT22;4025;6.530;3.399;2026-08-01T00:10:17.849493+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:10:17.849493+00:00;temperature;26.20
4851;pms5003;4025;6.530;3.399;2026-08-01T00:11:09.946310+00:00;P2;42.67
4851;pms5003;4025;6.530;3.399;2026-08-01T00:11:09.946310+00:00;P1;52.67
4851;pms5003;4025;6.530;3.399;2026-08-01T00:11:09.946310+00:00;P0;27.67
4852;DHT22;4025;6.530;3.399;2026-08-01T00:11:23.531765+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:11:23.531765+00:00;temperature;26.20
4851;pms5003;4025;6.530;3.399;2026-08-01T00:12:14.405591+00:00;P2;44.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:12:14.405591+00:00;P1;54.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:12:14.405591+00:00;P0;27.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:12:28.045005+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:12:28.045005+00:00;temperature;26.20
4851;pms5003;4025;6.530;3.399;2026-08-01T00:13:22.426780+00:00;P2;40.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:13:22.426780+00:00;P1;49.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:13:22.426780+00:00;P0;24.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:13:35.729184+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:13:35.729184+00:00;temperature;26.20
4851;pms5003;4025;6.530;3.399;2026-08-01T00:14:27.825502+00:00;P2;41.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:14:27.825502+00:00;P1;49.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:14:27.825502+00:00;P0;25.33
4852;DHT22;4025;6.530;3.399;2026-08-01T00:14:41.154165+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:14:41.154165+00:00;temperature;26.20
4851;pms5003;4025;6.530;3.399;2026-08-01T00:15:32.331188+00:00;P2;40.25
4851;pms5003;4025;6.530;3.399;2026-08-01T00:15:32.331188+00:00;P1;47.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:15:32.331188+00:00;P0;23.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:15:45.666689+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:15:45.666689+00:00;temperature;26.20
4851;pms5003;4025;6.530;3.399;2026-08-01T00:16:38.027323+00:00;P2;42.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:16:38.027323+00:00;P1;51.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:16:38.027323+00:00;P0;24.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:16:51.604468+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:16:51.604468+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:17:43.032275+00:00;P2;39.67
4851;pms5003;4025;6.530;3.399;2026-08-01T00:17:43.032275+00:00;P1;47.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:17:43.032275+00:00;P0;22.67
4852;DHT22;4025;6.530;3.399;2026-08-01T00:17:56.387162+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:17:56.387162+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:18:48.009737+00:00;P2;41.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:18:48.009737+00:00;P1;49.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:18:48.009737+00:00;P0;25.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:19:01.845613+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:19:01.845613+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:19:53.551137+00:00;P2;39.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:19:53.551137+00:00;P1;46.67
4851;pms5003;4025;6.530;3.399;2026-08-01T00:19:53.551137+00:00;P0;23.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:20:07.346506+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:20:07.346506+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:20:58.425264+00:00;P2;45.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:20:58.425264+00:00;P1;53.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:20:58.425264+00:00;P0;27.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:21:11.973030+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:21:11.973030+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:22:03.543758+00:00;P2;148.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:22:03.543758+00:00;P1;159.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:22:03.543758+00:00;P0;86.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:22:17.546353+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:22:17.546353+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:23:09.268672+00:00;P2;51.33
4851;pms5003;4025;6.530;3.399;2026-08-01T00:23:09.268672+00:00;P1;63.67
4851;pms5003;4025;6.530;3.399;2026-08-01T00:23:09.268672+00:00;P0;31.67
4852;DHT22;4025;6.530;3.399;2026-08-01T00:23:22.772528+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:23:22.772528+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:24:14.513586+00:00;P2;47.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:24:14.513586+00:00;P1;57.67
4851;pms5003;4025;6.530;3.399;2026-08-01T00:24:14.513586+00:00;P0;27.67
4852;DHT22;4025;6.530;3.399;2026-08-01T00:24:28.251584+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:24:28.251584+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:25:20.805971+00:00;P2;44.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:25:20.805971+00:00;P1;52.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:25:20.805971+00:00;P0;28.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:25:34.506180+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:25:34.506180+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:26:25.906674+00:00;P2;50.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:26:25.906674+00:00;P1;62.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:26:25.906674+00:00;P0;31.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:26:39.208486+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:26:39.208486+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:27:30.190208+00:00;P2;69.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:27:30.190208+00:00;P1;75.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:27:30.190208+00:00;P0;40.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:27:43.510176+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:27:43.510176+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:28:34.986586+00:00;P2;84.75
4851;pms5003;4025;6.530;3.399;2026-08-01T00:28:34.986586+00:00;P1;87.50
4851;pms5003;4025;6.530;3.399;2026-08-01T00:28:34.986586+00:00;P0;47.50
4852;DHT22;4025;6.530;3.399;2026-08-01T00:28:48.267687+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:28:48.267687+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:29:39.467281+00:00;P2;93.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:29:39.467281+00:00;P1;96.50
4851;pms5003;4025;6.530;3.399;2026-08-01T00:29:39.467281+00:00;P0;53.50
4852;DHT22;4025;6.530;3.399;2026-08-01T00:29:52.929485+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:29:52.929485+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:30:43.885631+00:00;P2;84.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:30:43.885631+00:00;P1;87.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:30:43.885631+00:00;P0;51.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:30:57.806905+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:30:57.806905+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:31:49.206908+00:00;P2;83.50
4851;pms5003;4025;6.530;3.399;2026-08-01T00:31:49.206908+00:00;P1;87.00
4851;pms5003;4025;6.530;3.399;2026-08-01T00:31:49.206908+00:00;P0;49.50
4852;DHT22;4025;6.530;3.399;2026-08-01T00:32:02.529535+00:00;humidity;100.00
4852;DHT22;4025;6.530;3.399;2026-08-01T00:32:02.529535+00:00;temperature;26.10
4851;pms5003;4025;6.530;3.399;2026-08-01T00:32:53.885873+00:00;P2;86.00
