sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4853;pms5003;3628;6.559;3.386;2026-01-01T05:59:01.477725+00:00;P2;50.67
4853;pms5003;3628;6.559;3.386;2026-01-01T05:59:01.477725+00:00;P1;66.67
4853;pms5003;3628;6.559;3.386;2026-01-01T05:59:01.477725+00:00;P0;33.33
4854;DHT22;3628;6.559;3.386;2026-01-01T05:59:18.846764+00:00;humidity;91.70
4854;DHT22;3628;6.559;3.386;2026-01-01T05:59:18.846764+00:00;temperature;28.20
4854;DHT22;3628;6.559;3.386;2026-01-01T09:20:30.357628+00:00;humidity;74.00
4854;DHT22;3628;6.559;3.386;2026-01-01T09:20:30.357628+00:00;temperature;34.80
4853;pms5003;3628;6.559;3.386;2026-01-01T09:25:47.562413+00:00;P2;37.50
4853;pms5003;3628;6.559;3.386;2026-01-01T09:25:47.562413+00:00;P1;50.50
4853;pms5003;3628;6.559;3.386;2026-01-01T09:25:47.562413+00:00;P0;26.00
4854;DHT22;3628;6.559;3.386;2026-01-01T09:26:04.936340+00:00;humidity;70.40
4854;DHT22;3628;6.559;3.386;2026-01-01T09:26:04.936340+00:00;temperature;36.30
4854;DHT22;3628;6.559;3.386;2026-01-01T09:55:39.570745+00:00;humidity;66.00
4854;DHT22;3628;6.559;3.386;2026-01-01T09:55:39.570745+00:00;temperature;37.90
4853;pms5003;3628;6.559;3.386;2026-01-01T10:21:19.047971+00:00;P2;44.50
4853;pms5003;3628;6.559;3.386;2026-01-01T10:21:19.047971+00:00;P1;55.50
4853;pms5003;3628;6.559;3.386;2026-01-01T10:21:19.047971+00:00;P0;29.00
4853;pms5003;3628;6.559;3.386;2026-01-01T10:26:36.217957+00:00;P2;42.25
4853;pms5003;3628;6.559;3.386;2026-01-01T10:26:36.217957+00:00;P1;51.00
4853;pms5003;3628;6.559;3.386;2026-01-01T10:26:36.217957+00:00;P0;28.00
4854;DHT22;3628;6.559;3.386;2026-01-01T10:26:53.140198+00:00;humidity;67.60
4854;DHT22;3628;6.559;3.386;2026-01-01T10:26:53.140198+00:00;temperature;37.00
4853;pms5003;3628;6.559;3.386;2026-01-01T10:32:10.357751+00:00;P2;41.25
4853;pms5003;3628;6.559;3.386;2026-01-01T10:32:10.357751+00:00;P1;54.50
4853;pms5003;3628;6.559;3.386;2026-01-01T10:32:10.357751+00:00;P0;27.00
4854;DHT22;3628;6.559;3.386;2026-01-01T10:32:27.770307+00:00;humidity;66.40
4854;DHT22;3628;6.559;3.386;2026-01-01T10:32:27.770307+00:00;temperature;37.20
4854;DHT22;3628;6.559;3.386;2026-01-01T10:44:38.607464+00:00;humidity;63.50
4854;DHT22;3628;6.559;3.386;2026-01-01T10:44:38.607464+00:00;temperature;37.80
4853;pms5003;3628;6.559;3.386;2026-01-01T10:49:55.835543+00:00;P2;46.00
4853;pms5003;3628;6.559;3.386;2026-01-01T10:49:55.835543+00:00;P1;60.75
4853;pms5003;3628;6.559;3.386;2026-01-01T10:49:55.835543+00:00;P0;29.75
4853;pms5003;3628;6.559;3.386;2026-01-01T10:55:19.613201+00:00;P2;41.33
4853;pms5003;3628;6.559;3.386;2026-01-01T10:55:19.613201+00:00;P1;56.33
4853;pms5003;3628;6.559;3.386;2026-01-01T10:55:19.613201+00:00;P0;28.00
4853;pms5003;3628;6.559;3.386;2026-01-01T11:53:24.230876+00:00;P2;32.50
4853;pms5003;3628;6.559;3.386;2026-01-01T11:53:24.230876+00:00;P1;37.25
4853;pms5003;3628;6.559;3.386;2026-01-01T11:53:24.230876+00:00;P0;21.75
4854;DHT22;3628;6.559;3.386;2026-01-01T11:53:41.680691+00:00;humidity;68.20
4854;DHT22;3628;6.559;3.386;2026-01-01T11:53:41.680691+00:00;temperature;36.00
4853;pms5003;3628;6.559;3.386;2026-01-01T11:58:58.876485+00:00;P2;29.75
4853;pms5003;3628;6.559;3.386;2026-01-01T11:58:58.876485+00:00;P1;35.00
4853;pms5003;3628;6.559;3.386;2026-01-01T11:58:58.876485+00:00;P0;21.00
4854;DHT22;3628;6.559;3.386;2026-01-01T11:59:16.276444+00:00;humidity;68.80
4854;DHT22;3628;6.559;3.386;2026-01-01T11:59:16.276444+00:00;temperature;35.80
4853;pms5003;3628;6.559;3.386;2026-01-01T12:04:33.485049+00:00;P2;30.00
4853;pms5003;3628;6.559;3.386;2026-01-01T12:04:33.485049+00:00;P1;38.00
4853;pms5003;3628;6.559;3.386;2026-01-01T12:04:33.485049+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2026-01-01T12:04:50.816928+00:00;humidity;66.10
4854;DHT22;3628;6.559;3.386;2026-01-01T12:04:50.816928+00:00;temperature;36.90
4853;pms5003;3628;6.559;3.386;2026-01-01T12:10:08.037439+00:00;P2;29.50
4853;pms5003;3628;6.559;3.386;2026-01-01T12:10:08.037439+00:00;P1;43.75
4853;pms5003;3628;6.559;3.386;2026-01-01T12:10:08.037439+00:00;P0;19.50
4854;DHT22;3628;6.559;3.386;2026-01-01T12:10:25.530093+00:00;humidity;65.30
4854;DHT22;3628;6.559;3.386;2026-01-01T12:10:25.530093+00:00;temperature;37.10
4853;pms5003;3628;6.559;3.386;2026-01-01T12:19:49.493270+00:00;P2;31.20
4853;pms5003;3628;6.559;3.386;2026-01-01T12:19:49.493270+00:00;P1;39.00
4853;pms5003;3628;6.559;3.386;2026-01-01T12:19:49.493270+00:00;P0;21.20
4853;pms5003;3628;6.559;3.386;2026-01-01T12:25:13.255745+00:00;P2;30.00
4853;pms5003;3628;6.559;3.386;2026-01-01T12:25:13.255745+00:00;P1;35.00
4853;pms5003;3628;6.559;3.386;2026-01-01T12:25:13.255745+00:00;P0;20.50
4854;DHT22;3628;6.559;3.386;2026-01-01T12:25:30.652954+00:00;humidity;64.30
4854;DHT22;3628;6.559;3.386;2026-01-01T12:25:30.652954+00:00;temperature;37.40
4854;DHT22;3628;6.559;3.386;2026-01-01T12:36:08.018268+00:00;humidity;62.30
4854;DHT22;3628;6.559;3.386;2026-01-01T12:36:08.018268+00:00;temperature;38.40
4853;pms5003;3628;6.559;3.386;2026-01-01T12:57:25.272204+00:00;P2;30.00
4853;pms5003;3628;6.559;3.386;2026-01-01T12:57:25.272204+00:00;P1;38.50
4853;pms5003;3628;6.559;3.386;2026-01-01T12:57:25.272204+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2026-01-01T12:57:42.655255+00:00;humidity;67.70
4854;DHT22;3628;6.559;3.386;2026-01-01T12:57:42.655255+00:00;temperature;36.40
4853;pms5003;3628;6.559;3.386;2026-01-01T13:02:59.913256+00:00;P2;30.00
4853;pms5003;3628;6.559;3.386;2026-01-01T13:02:59.913256+00:00;P1;31.60
4853;pms5003;3628;6.559;3.386;2026-01-01T13:02:59.913256+00:00;P0;21.00
4853;pms5003;3628;6.559;3.386;2026-01-01T13:09:57.628993+00:00;P2;30.00
4853;pms5003;3628;6.559;3.386;2026-01-01T13:09:57.628993+00:00;P1;30.00
4853;pms5003;3628;6.559;3.386;2026-01-01T13:09:57.628993+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2026-01-01T13:14:08.207852+00:00;humidity;63.50
4854;DHT22;3628;6.559;3.386;2026-01-01T13:14:08.207852+00:00;temperature;38.20
4853;pms5003;3628;6.559;3.386;2026-01-01T13:19:25.448497+00:00;P2;29.00
4853;pms5003;3628;6.559;3.386;2026-01-01T13:19:25.448497+00:00;P1;33.50
4853;pms5003;3628;6.559;3.386;2026-01-01T13:19:25.448497+00:00;P0;20.50
4853;pms5003;3628;6.559;3.386;2026-01-01T13:25:00.186605+00:00;P2;30.00
4853;pms5003;3628;6.559;3.386;2026-01-01T13:25:00.186605+00:00;P1;31.00
4853;pms5003;3628;6.559;3.386;2026-01-01T13:25:00.186605+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2026-01-01T13:25:17.426462+00:00;humidity;64.50
4854;DHT22;3628;6.559;3.386;2026-01-01T13:25:17.426462+00:00;temperature;37.30
4853;pms5003;3628;6.559;3.386;2026-01-01T13:30:34.609977+00:00;P2;26.75
4853;pms5003;3628;6.559;3.386;2026-01-01T13:30:34.609977+00:00;P1;28.75
4853;pms5003;3628;6.559;3.386;2026-01-01T13:30:34.609977+00:00;P0;17.75
4854;DHT22;3628;6.559;3.386;2026-01-01T13:30:52.035064+00:00;humidity;62.70
4854;DHT22;3628;6.559;3.386;2026-01-01T13:30:52.035064+00:00;temperature;38.00
4853;pms5003;3628;6.559;3.386;2026-01-01T13:36:09.191744+00:00;P2;30.00
4853;pms5003;3628;6.559;3.386;2026-01-01T13:36:09.191744+00:00;P1;42.50
4853;pms5003;3628;6.559;3.386;2026-01-01T13:36:09.191744+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2026-01-01T13:36:26.581711+00:00;humidity;61.40
4854;DHT22;3628;6.559;3.386;2026-01-01T13:36:26.581711+00:00;temperature;38.40
4853;pms5003;3628;6.559;3.386;2026-01-01T13:41:43.741855+00:00;P2;26.75
4853;pms5003;3628;6.559;3.386;2026-01-01T13:41:43.741855+00:00;P1;29.75
4853;pms5003;3628;6.559;3.386;2026-01-01T13:41:43.741855+00:00;P0;19.25
4854;DHT22;3628;6.559;3.386;2026-01-01T13:47:14.457626+00:00;humidity;61.50
4854;DHT22;3628;6.559;3.386;2026-01-01T13:47:14.457626+00:00;temperature;38.40
4853;pms5003;3628;6.559;3.386;2026-01-01T13:53:38.937939+00:00;P2;25.00
4853;pms5003;3628;6.559;3.386;2026-01-01T13:53:38.937939+00:00;P1;37.50
4853;pms5003;3628;6.559;3.386;2026-01-01T13:53:38.937939+00:00;P0;18.50
4853;pms5003;3628;6.559;3.386;2026-01-01T13:57:58.717188+00:00;P2;29.25
4853;pms5003;3628;6.559;3.386;2026-01-01T13:57:58.717188+00:00;P1;42.75
4853;pms5003;3628;6.559;3.386;2026-01-01T13:57:58.717188+00:00;P0;19.50
4854;DHT22;3628;6.559;3.386;2026-01-01T14:03:32.097024+00:00;humidity;61.30
4854;DHT22;3628;6.559;3.386;2026-01-01T14:03:32.097024+00:00;temperature;38.40
4853;pms5003;3628;6.559;3.386;2026-01-01T14:09:23.363807+00:00;P2;29.40
4853;pms5003;3628;6.559;3.386;2026-01-01T14:09:23.363807+00:00;P1;37.60
4853;pms5003;3628;6.559;3.386;2026-01-01T14:09:23.363807+00:00;P0;20.00
4853;pms5003;3628;6.559;3.386;2026-01-01T14:14:13.483856+00:00;P2;29.00
4853;pms5003;3628;6.559;3.386;2026-01-01T14:14:13.483856+00:00;P1;38.25
4853;pms5003;3628;6.559;3.386;2026-01-01T14:14:13.483856+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2026-01-01T14:16:35.011592+00:00;humidity;62.30
4854;DHT22;3628;6.559;3.386;2026-01-01T14:16:35.011592+00:00;temperature;38.30
4854;DHT22;3628;6.559;3.386;2026-01-01T14:51:41.741757+00:00;humidity;61.00
4854;DHT22;3628;6.559;3.386;2026-01-01T14:51:41.741757+00:00;temperature;38.10
4853;pms5003;3628;6.559;3.386;2026-01-01T14:56:59.020253+00:00;P2;26.67
4853;pms5003;3628;6.559;3.386;2026-01-01T14:56:59.020253+00:00;P1;29.00
4853;pms5003;3628;6.559;3.386;2026-01-01T14:56:59.020253+00:00;P0;17.00
4854;DHT22;3628;6.559;3.386;2026-01-01T14:57:16.379691+00:00;humidity;61.90
4854;DHT22;3628;6.559;3.386;2026-01-01T14:57:16.379691+00:00;temperature;38.10
4853;pms5003;3628;6.559;3.386;2026-01-01T15:02:33.562865+00:00;P2;20.50
4853;pms5003;3628;6.559;3.386;2026-01-01T15:02:33.562865+00:00;P1;23.50
4853;pms5003;3628;6.559;3.386;2026-01-01T15:02:33.562865+00:00;P0;15.75
4854;DHT22;3628;6.559;3.386;2026-01-01T15:02:50.914597+00:00;humidity;63.00
4854;DHT22;3628;6.559;3.386;2026-01-01T15:02:50.914597+00:00;temperature;37.70
4853;pms5003;3628;6.559;3.386;2026-01-01T15:08:08.078686+00:00;P2;22.00
4853;pms5003;3628;6.559;3.386;2026-01-01T15:08:08.078686+00:00;P1;33.60
4853;pms5003;3628;6.559;3.386;2026-01-01T15:08:08.078686+00:00;P0;15.60
4854;DHT22;3628;6.559;3.386;2026-01-01T15:08:25.415031+00:00;humidity;63.20
4854;DHT22;3628;6.559;3.386;2026-01-01T15:08:25.415031+00:00;temperature;37.80
4854;DHT22;3628;6.559;3.386;2026-01-01T15:13:49.129368+00:00;humidity;63.50
4854;DHT22;3628;6.559;3.386;2026-01-01T15:13:49.129368+00:00;temperature;37.30
4853;pms5003;3628;6.559;3.386;2026-01-01T15:19:06.472925+00:00;P2;26.00
4853;pms5003;3628;6.559;3.386;2026-01-01T15:19:06.472925+00:00;P1;27.00
4853;pms5003;3628;6.559;3.386;2026-01-01T15:19:06.472925+00:00;P0;18.00
4854;DHT22;3628;6.559;3.386;2026-01-01T15:19:23.805731+00:00;humidity;65.00
4854;DHT22;3628;6.559;3.386;2026-01-01T15:19:23.805731+00:00;temperature;36.90
4853;pms5003;3628;6.559;3.386;2026-01-01T15:24:41.044448+00:00;P2;24.00
4853;pms5003;3628;6.559;3.386;2026-01-01T15:24:41.044448+00:00;P1;24.00
4853;pms5003;3628;6.559;3.386;2026-01-01T15:24:41.044448+00:00;P0;15.00
4854;DHT22;3628;6.559;3.386;2026-01-01T15:24:58.489135+00:00;humidity;65.70
4854;DHT22;3628;6.559;3.386;2026-01-01T15:24:58.489135+00:00;temperature;36.70
4853;pms5003;3628;6.559;3.386;2026-01-01T15:30:15.599495+00:00;P2;23.20
4853;pms5003;3628;6.559;3.386;2026-01-01T15:30:15.599495+00:00;P1;24.80
4853;pms5003;3628;6.559;3.386;2026-01-01T15:30:15.599495+00:00;P0;15.80
4854;DHT22;3628;6.559;3.386;2026-01-01T15:30:33.056567+00:00;humidity;66.90
4854;DHT22;3628;6.559;3.386;2026-01-01T15:30:33.056567+00:00;temperature;36.00
4854;DHT22;3628;6.559;3.386;2026-01-01T15:41:10.685578+00:00;humidity;78.10
4854;DHT22;3628;6.559;3.386;2026-01-01T15:41:10.685578+00:00;temperature;33.10
4853;pms5003;3628;6.559;3.386;2026-01-01T15:47:19.900873+00:00;P2;33.00
4853;pms5003;3628;6.559;3.386;2026-01-01T15:47:19.900873+00:00;P1;35.75
4853;pms5003;3628;6.559;3.386;2026-01-01T15:47:19.900873+00:00;P0;22.00
4853;pms5003;3628;6.559;3.386;2026-01-01T15:51:52.079369+00:00;P2;23.00
4853;pms5003;3628;6.559;3.386;2026-01-01T15:51:52.079369+00:00;P1;25.00
4853;pms5003;3628;6.559;3.386;2026-01-01T15:51:52.079369+00:00;P0;16.00
4854;DHT22;3628;6.559;3.386;2026-01-01T15:57:22.808287+00:00;humidity;95.50
4854;DHT22;3628;6.559;3.386;2026-01-01T15:57:22.808287+00:00;temperature;26.50
4853;pms5003;3628;6.559;3.386;2026-01-01T16:08:39.455495+00:00;P2;31.50
4853;pms5003;3628;6.559;3.386;2026-01-01T16:08:39.455495+00:00;P1;33.00
4853;pms5003;3628;6.559;3.386;2026-01-01T16:08:39.455495+00:00;P0;22.00
4854;DHT22;3628;6.559;3.386;2026-01-01T16:19:10.490942+00:00;humidity;90.90
4854;DHT22;3628;6.559;3.386;2026-01-01T16:19:10.490942+00:00;temperature;28.90
4853;pms5003;3628;6.559;3.386;2026-01-01T16:24:27.738108+00:00;P2;31.00
4853;pms5003;3628;6.559;3.386;2026-01-01T16:24:27.738108+00:00;P1;37.33
4853;pms5003;3628;6.559;3.386;2026-01-01T16:24:27.738108+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2026-01-01T16:24:45.071730+00:00;humidity;93.20
4854;DHT22;3628;6.559;3.386;2026-01-01T16:24:45.071730+00:00;temperature;29.30
4853;pms5003;3628;6.559;3.386;2026-01-01T16:30:02.368413+00:00;P2;31.00
4853;pms5003;3628;6.559;3.386;2026-01-01T16:30:02.368413+00:00;P1;34.80
4853;pms5003;3628;6.559;3.386;2026-01-01T16:30:02.368413+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2026-01-01T16:30:19.608847+00:00;humidity;90.10
4854;DHT22;3628;6.559;3.386;2026-01-01T16:30:19.608847+00:00;temperature;29.90
4853;pms5003;3628;6.559;3.386;2026-01-01T16:36:00.784187+00:00;P2;31.50
4853;pms5003;3628;6.559;3.386;2026-01-01T16:36:00.784187+00:00;P1;38.50
4853;pms5003;3628;6.559;3.386;2026-01-01T16:36:00.784187+00:00;P0;20.25
4853;pms5003;3628;6.559;3.386;2026-01-01T16:41:01.157665+00:00;P2;30.75
4853;pms5003;3628;6.559;3.386;2026-01-01T16:41:01.157665+00:00;P1;33.50
4853;pms5003;3628;6.559;3.386;2026-01-01T16:41:01.157665+00:00;P0;21.25
4853;pms5003;3628;6.559;3.386;2026-01-01T16:46:25.368263+00:00;P2;28.25
4853;pms5003;3628;6.559;3.386;2026-01-01T16:46:25.368263+00:00;P1;40.75
4853;pms5003;3628;6.559;3.386;2026-01-01T16:46:25.368263+00:00;P0;18.00
4854;DHT22;3628;6.559;3.386;2026-01-01T16:46:42.692900+00:00;humidity;87.90
4854;DHT22;3628;6.559;3.386;2026-01-01T16:46:42.692900+00:00;temperature;31.20
4853;pms5003;3628;6.559;3.386;2026-01-01T16:51:59.884332+00:00;P2;30.50
4853;pms5003;3628;6.559;3.386;2026-01-01T16:51:59.884332+00:00;P1;44.00
4853;pms5003;3628;6.559;3.386;2026-01-01T16:51:59.884332+00:00;P0;20.50
4854;DHT22;3628;6.559;3.386;2026-01-01T16:52:17.233507+00:00;humidity;86.70
4854;DHT22;3628;6.559;3.386;2026-01-01T16:52:17.233507+00:00;temperature;31.50
4853;pms5003;3628;6.559;3.386;2026-01-01T16:57:34.436888+00:00;P2;29.00
4853;pms5003;3628;6.559;3.386;2026-01-01T16:57:34.436888+00:00;P1;29.00
4853;pms5003;3628;6.559;3.386;2026-01-01T16:57:34.436888+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2026-01-01T16:57:51.779589+00:00;humidity;84.00
4854;DHT22;3628;6.559;3.386;2026-01-01T16:57:51.779589+00:00;temperature;31.80
4853;pms5003;3628;6.559;3.386;2026-01-01T17:08:22.092172+00:00;P2;30.00
4853;pms5003;3628;6.559;3.386;2026-01-01T17:08:22.092172+00:00;P1;33.60
4853;pms5003;3628;6.559;3.386;2026-01-01T17:08:22.092172+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2026-01-01T17:08:39.445063+00:00;humidity;81.90
4854;DHT22;3628;6.559;3.386;2026-01-01T17:08:39.445063+00:00;temperature;32.30
4853;pms5003;3628;6.559;3.386;2026-01-01T17:15:14.498043+00:00;P2;30.75
4853;pms5003;3628;6.559;3.386;2026-01-01T17:15:14.498043+00:00;P1;33.75
4853;pms5003;3628;6.559;3.386;2026-01-01T17:15:14.498043+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2026-01-01T17:19:38.173863+00:00;humidity;82.50
4854;DHT22;3628;6.559;3.386;2026-01-01T17:19:38.173863+00:00;temperature;32.20
4853;pms5003;3628;6.559;3.386;2026-01-01T17:24:55.435905+00:00;P2;27.40
4853;pms5003;3628;6.559;3.386;2026-01-01T17:24:55.435905+00:00;P1;27.40
4853;pms5003;3628;6.559;3.386;2026-01-01T17:24:55.435905+00:00;P0;19.00
4854;DHT22;3628;6.559;3.386;2026-01-01T17:25:12.745830+00:00;humidity;82.50
4854;DHT22;3628;6.559;3.386;2026-01-01T17:25:12.745830+00:00;temperature;32.30
4853;pms5003;3628;6.559;3.386;2026-01-01T17:30:30.043155+00:00;P2;30.50
4853;pms5003;3628;6.559;3.386;2026-01-01T17:30:30.043155+00:00;P1;37.75
4853;pms5003;3628;6.559;3.386;2026-01-01T17:30:30.043155+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2026-01-01T17:30:47.362810+00:00;humidity;82.60
4854;DHT22;3628;6.559;3.386;2026-01-01T17:30:47.362810+00:00;temperature;32.20
4853;pms5003;3628;6.559;3.386;2026-01-01T17:36:04.545944+00:00;P2;29.40
4853;pms5003;3628;6.559;3.386;2026-01-01T17:36:04.545944+00:00;P1;36.00
4853;pms5003;3628;6.559;3.386;2026-01-01T17:36:04.545944+00:00;P0;19.00
4854;DHT22;3628;6.559;3.386;2026-01-01T17:36:21.912119+00:00;humidity;83.60
4854;DHT22;3628;6.559;3.386;2026-01-01T17:36:21.912119+00:00;temperature;32.00
4853;pms5003;3628;6.559;3.386;2026-01-01T17:41:39.135186+00:00;P2;26.50
4853;pms5003;3628;6.559;3.386;2026-01-01T17:41:39.135186+00:00;P1;34.50
4853;pms5003;3628;6.559;3.386;2026-01-01T17:41:39.135186+00:00;P0;17.50
4854;DHT22;3628;6.559;3.386;2026-01-01T17:52:47.797509+00:00;humidity;84.40
4854;DHT22;3628;6.559;3.386;2026-01-01T17:52:47.797509+00:00;temperature;31.80
4853;pms5003;3628;6.559;3.386;2026-01-01T18:03:17.926397+00:00;P2;31.00
4853;pms5003;3628;6.559;3.386;2026-01-01T18:03:17.926397+00:00;P1;36.00
4853;pms5003;3628;6.559;3.386;2026-01-01T18:03:17.926397+00:00;P0;20.50
4854;DHT22;3628;6.559;3.386;2026-01-01T18:03:35.258520+00:00;humidity;84.40
4854;DHT22;3628;6.559;3.386;2026-01-01T18:03:35.258520+00:00;temperature;31.70
4853;pms5003;3628;6.559;3.386;2026-01-01T18:08:52.624651+00:00;P2;28.80
4853;pms5003;3628;6.559;3.386;2026-01-01T18:08:52.624651+00:00;P1;29.80
4853;pms5003;3628;6.559;3.386;2026-01-01T18:08:52.624651+00:00;P0;17.80
4854;DHT22;3628;6.559;3.386;2026-01-01T18:09:09.854920+00:00;humidity;85.10
4854;DHT22;3628;6.559;3.386;2026-01-01T18:09:09.854920+00:00;temperature;31.60
4853;pms5003;3628;6.559;3.386;2026-01-01T18:14:26.973050+00:00;P2;26.50
4853;pms5003;3628;6.559;3.386;2026-01-01T18:14:26.973050+00:00;P1;26.50
4853;pms5003;3628;6.559;3.386;2026-01-01T18:14:26.973050+00:00;P0;18.50
4854;DHT22;3628;6.559;3.386;2026-01-01T18:14:47.288070+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2026-01-01T18:14:47.288070+00:00;temperature;31.50
4854;DHT22;3628;6.559;3.386;2026-01-01T18:20:11.200373+00:00;humidity;85.10
4854;DHT22;3628;6.559;3.386;2026-01-01T18:20:11.200373+00:00;temperature;31.40
4853;pms5003;3628;6.559;3.386;2026-01-01T18:25:28.447291+00:00;P2;28.75
4853;pms5003;3628;6.559;3.386;2026-01-01T18:25:28.447291+00:00;P1;37.00
4853;pms5003;3628;6.559;3.386;2026-01-01T18:25:28.447291+00:00;P0;18.75
4854;DHT22;3628;6.559;3.386;2026-01-01T18:25:45.819637+00:00;humidity;85.40
4854;DHT22;3628;6.559;3.386;2026-01-01T18:25:45.819637+00:00;temperature;31.40
4853;pms5003;3628;6.559;3.386;2026-01-01T18:31:03.002082+00:00;P2;31.60
4853;pms5003;3628;6.559;3.386;2026-01-01T18:31:03.002082+00:00;P1;34.60
4853;pms5003;3628;6.559;3.386;2026-01-01T18:31:03.002082+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2026-01-01T18:31:20.335303+00:00;humidity;85.30
