sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4854;DHT22;3628;6.559;3.386;2026-06-01T05:35:03.276418+00:00;humidity;100.00
4854;DHT22;3628;6.559;3.386;2026-06-01T05:35:03.276418+00:00;temperature;29.30
4853;pms5003;3628;6.559;3.386;2026-06-01T05:40:20.460440+00:00;P2;62.75
4853;pms5003;3628;6.559;3.386;2026-06-01T05:40:20.460440+00:00;P1;75.25
4853;pms5003;3628;6.559;3.386;2026-06-01T05:40:20.460440+00:00;P0;42.00
4854;DHT22;3628;6.559;3.386;2026-06-01T05:40:37.830524+00:00;humidity;100.00
4854;DHT22;3628;6.559;3.386;2026-06-01T05:40:37.830524+00:00;temperature;29.40
4853;pms5003;3628;6.559;3.386;2026-06-01T05:47:34.794990+00:00;P2;55.60
4853;pms5003;3628;6.559;3.386;2026-06-01T05:47:34.794990+00:00;P1;71.00
4853;pms5003;3628;6.559;3.386;2026-06-01T05:47:34.794990+00:00;P0;37.40
4854;DHT22;3628;6.559;3.386;2026-06-01T05:47:52.190360+00:00;humidity;100.00
4854;DHT22;3628;6.559;3.386;2026-06-01T05:47:52.190360+00:00;temperature;29.50
4854;DHT22;3628;6.559;3.386;2026-06-01T05:53:15.941536+00:00;humidity;100.00
4854;DHT22;3628;6.559;3.386;2026-06-01T05:53:15.941536+00:00;temperature;29.70
4854;DHT22;3628;6.559;3.386;2026-06-01T05:58:39.857281+00:00;humidity;100.00
4854;DHT22;3628;6.559;3.386;2026-06-01T05:58:39.857281+00:00;temperature;29.80
4988;pms5003;3627;6.515;3.400;2026-06-01T08:50:01+00:00;P2;22
4988;pms5003;3627;6.515;3.400;2026-06-01T08:50:01+00:00;P1;22
4988;pms5003;3627;6.515;3.400;2026-06-01T08:50:01+00:00;P0;14
4989;DHT22;3627;6.515;3.400;2026-06-01T08:50:03+00:00;humidity;59.9
4989;DHT22;3627;6.515;3.400;2026-06-01T08:50:03+00:00;temperature;38.9
4988;pms5003;3627;6.515;3.400;2026-06-01T08:55:38+00:00;P2;13
4988;pms5003;3627;6.515;3.400;2026-06-01T08:55:38+00:00;P1;14
4988;pms5003;3627;6.515;3.400;2026-06-01T08:55:38+00:00;P0;9
4989;DHT22;3627;6.515;3.400;2026-06-01T08:55:40+00:00;humidity;57.4
4989;DHT22;3627;6.515;3.400;2026-06-01T08:55:40+00:00;temperature;39.8
4988;pms5003;3627;6.515;3.400;2026-06-01T09:01:14+00:00;P2;11
