sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4853;pms5003;3628;6.559;3.386;2026-02-01T00:03:20.997437+00:00;P2;80.00
4853;pms5003;3628;6.559;3.386;2026-02-01T00:03:20.997437+00:00;P1;102.00
4853;pms5003;3628;6.559;3.386;2026-02-01T00:03:20.997437+00:00;P0;45.00
4854;DHT22;3628;6.559;3.386;2026-02-01T00:03:38.532842+00:00;humidity;91.30
4854;DHT22;3628;6.559;3.386;2026-02-01T00:03:38.532842+00:00;temperature;31.10
4853;pms5003;3628;6.559;3.386;2026-02-01T00:08:55.839166+00:00;P2;73.75
4853;pms5003;3628;6.559;3.386;2026-02-01T00:08:55.839166+00:00;P1;91.25
4853;pms5003;3628;6.559;3.386;2026-02-01T00:08:55.839166+00:00;P0;42.00
4854;DHT22;3628;6.559;3.386;2026-02-01T00:09:13.294634+00:00;humidity;91.60
4854;DHT22;3628;6.559;3.386;2026-02-01T00:09:13.294634+00:00;temperature;31.10
4853;pms5003;3628;6.559;3.386;2026-02-01T00:14:30.548200+00:00;P2;97.00
4853;pms5003;3628;6.559;3.386;2026-02-01T00:14:30.548200+00:00;P1;123.80
4853;pms5003;3628;6.559;3.386;2026-02-01T00:14:30.548200+00:00;P0;55.40
4854;DHT22;3628;6.559;3.386;2026-02-01T00:14:48.011458+00:00;humidity;91.20
4854;DHT22;3628;6.559;3.386;2026-02-01T00:14:48.011458+00:00;temperature;31.10
4853;pms5003;3628;6.559;3.386;2026-02-01T00:21:45.219778+00:00;P2;100.00
4853;pms5003;3628;6.559;3.386;2026-02-01T00:21:45.219778+00:00;P1;120.00
4853;pms5003;3628;6.559;3.386;2026-02-01T00:21:45.219778+00:00;P0;55.50
4854;DHT22;3628;6.559;3.386;2026-02-01T00:25:36.541261+00:00;humidity;91.50
4854;DHT22;3628;6.559;3.386;2026-02-01T00:25:36.541261+00:00;temperature;31.10
4853;pms5003;3628;6.559;3.386;2026-02-01T00:30:53.842901+00:00;P2;64.80
4853;pms5003;3628;6.559;3.386;2026-02-01T00:30:53.842901+00:00;P1;77.80
4853;pms5003;3628;6.559;3.386;2026-02-01T00:30:53.842901+00:00;P0;38.20
4854;DHT22;3628;6.559;3.386;2026-02-01T00:31:11.395779+00:00;humidity;91.70
4854;DHT22;3628;6.559;3.386;2026-02-01T00:31:11.395779+00:00;temperature;31.10
4853;pms5003;3628;6.559;3.386;2026-02-01T00:36:50.076715+00:00;P2;57.00
4853;pms5003;3628;6.559;3.386;2026-02-01T00:36:50.076715+00:00;P1;75.75
4853;pms5003;3628;6.559;3.386;2026-02-01T00:36:50.076715+00:00;P0;33.00
4853;pms5003;3628;6.559;3.386;2026-02-01T00:47:06.370030+00:00;P2;48.25
4853;pms5003;3628;6.559;3.386;2026-02-01T00:47:06.370030+00:00;P1;66.50
4853;pms5003;3628;6.559;3.386;2026-02-01T00:47:06.370030+00:00;P0;31.00
4853;pms5003;3628;6.559;3.386;2026-02-01T06:03:48.888658+00:00;P2;51.20
4853;pms5003;3628;6.559;3.386;2026-02-01T06:03:48.888658+00:00;P1;68.60
4853;pms5003;3628;6.559;3.386;2026-02-01T06:03:48.888658+00:00;P0;34.40
4854;DHT22;3628;6.559;3.386;2026-02-01T06:04:06.363915+00:00;humidity;100.00
4854;DHT22;3628;6.559;3.386;2026-02-01T06:04:06.363915+00:00;temperature;29.30
4854;DHT22;3628;6.559;3.386;2026-02-01T06:09:41.061382+00:00;humidity;99.70
4854;DHT22;3628;6.559;3.386;2026-02-01T06:09:41.061382+00:00;temperature;30.20
4854;DHT22;3628;6.559;3.386;2026-02-01T06:15:15.854818+00:00;humidity;98.60
4854;DHT22;3628;6.559;3.386;2026-02-01T06:15:15.854818+00:00;temperature;30.30
4853;pms5003;3628;6.559;3.386;2026-02-01T10:29:10.495711+00:00;P2;50.00
4853;pms5003;3628;6.559;3.386;2026-02-01T10:29:10.495711+00:00;P1;68.00
4853;pms5003;3628;6.559;3.386;2026-02-01T10:29:10.495711+00:00;P0;31.40
4854;DHT22;3628;6.559;3.386;2026-02-01T10:29:27.860572+00:00;humidity;100.00
4854;DHT22;3628;6.559;3.386;2026-02-01T10:29:27.860572+00:00;temperature;28.50
4853;pms5003;3628;6.559;3.386;2026-02-01T10:34:45.130028+00:00;P2;47.25
4853;pms5003;3628;6.559;3.386;2026-02-01T10:34:45.130028+00:00;P1;62.00
4853;pms5003;3628;6.559;3.386;2026-02-01T10:34:45.130028+00:00;P0;29.00
4854;DHT22;3628;6.559;3.386;2026-02-01T10:35:02.486067+00:00;humidity;100.00
4854;DHT22;3628;6.559;3.386;2026-02-01T10:35:02.486067+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2026-02-01T10:40:19.663636+00:00;P2;46.25
4853;pms5003;3628;6.559;3.386;2026-02-01T10:40:19.663636+00:00;P1;62.00
4853;pms5003;3628;6.559;3.386;2026-02-01T10:40:19.663636+00:00;P0;29.25
4854;DHT22;3628;6.559;3.386;2026-02-01T10:40:37.379314+00:00;humidity;96.80
4854;DHT22;3628;6.559;3.386;2026-02-01T10:40:37.379314+00:00;temperature;33.40
4853;pms5003;3628;6.559;3.386;2026-02-01T10:51:08.246473+00:00;P2;47.25
4853;pms5003;3628;6.559;3.386;2026-02-01T10:51:08.246473+00:00;P1;64.75
4853;pms5003;3628;6.559;3.386;2026-02-01T10:51:08.246473+00:00;P0;31.25
4853;pms5003;3628;6.559;3.386;2026-02-01T10:57:00.457377+00:00;P2;46.80
4853;pms5003;3628;6.559;3.386;2026-02-01T10:57:00.457377+00:00;P1;63.60
4853;pms5003;3628;6.559;3.386;2026-02-01T10:57:00.457377+00:00;P0;30.60
4854;DHT22;3628;6.559;3.386;2026-02-01T10:57:17.899770+00:00;humidity;83.3
4854;DHT22;3628;6.559;3.386;2026-02-01T10:57:17.899770+00:00;temperature;34.60
4854;DHT22;3628;6.559;3.386;2026-02-01T11:02:42.548900+00:00;humidity;82.40
4854;DHT22;3628;6.559;3.386;2026-02-01T11:02:42.548900+00:00;temperature;35.70
4853;pms5003;3628;6.559;3.386;2026-02-01T11:14:35.145116+00:00;P2;44.75
4853;pms5003;3628;6.559;3.386;2026-02-01T11:14:35.145116+00:00;P1;57.50
4853;pms5003;3628;6.559;3.386;2026-02-01T11:14:35.145116+00:00;P0;28.75
4854;DHT22;3628;6.559;3.386;2026-02-01T12:00:16.075987+00:00;humidity;73.90
4854;DHT22;3628;6.559;3.386;2026-02-01T12:00:16.075987+00:00;temperature;34.60
4853;pms5003;3628;6.559;3.386;2026-02-01T12:27:38.991519+00:00;P2;44.60
4853;pms5003;3628;6.559;3.386;2026-02-01T12:27:38.991519+00:00;P1;61.40
4853;pms5003;3628;6.559;3.386;2026-02-01T12:27:38.991519+00:00;P0;29.00
4853;pms5003;3628;6.559;3.386;2026-02-01T12:33:30.768643+00:00;P2;37.50
4853;pms5003;3628;6.559;3.386;2026-02-01T12:33:30.768643+00:00;P1;45.75
4853;pms5003;3628;6.559;3.386;2026-02-01T12:33:30.768643+00:00;P0;23.50
4854;DHT22;3628;6.559;3.386;2026-02-01T12:33:51.107725+00:00;humidity;67.80
4854;DHT22;3628;6.559;3.386;2026-02-01T12:33:51.107725+00:00;temperature;36.40
4853;pms5003;3628;6.559;3.386;2026-02-01T13:00:29.411915+00:00;P2;39.00
4853;pms5003;3628;6.559;3.386;2026-02-01T13:00:29.411915+00:00;P1;52.75
4853;pms5003;3628;6.559;3.386;2026-02-01T13:00:29.411915+00:00;P0;26.00
4853;pms5003;3628;6.559;3.386;2026-02-01T13:05:56.733929+00:00;P2;35.75
4853;pms5003;3628;6.559;3.386;2026-02-01T13:05:56.733929+00:00;P1;51.50
4853;pms5003;3628;6.559;3.386;2026-02-01T13:05:56.733929+00:00;P0;24.00
4854;DHT22;3628;6.559;3.386;2026-02-01T13:06:14.290315+00:00;humidity;60.20
4854;DHT22;3628;6.559;3.386;2026-02-01T13:06:14.290315+00:00;temperature;39.20
4853;pms5003;3628;6.559;3.386;2026-02-01T13:11:31.584616+00:00;P2;35.50
4853;pms5003;3628;6.559;3.386;2026-02-01T13:11:31.584616+00:00;P1;53.50
4853;pms5003;3628;6.559;3.386;2026-02-01T13:11:31.584616+00:00;P0;23.25
4853;pms5003;3628;6.559;3.386;2026-02-01T13:22:41.457892+00:00;P2;36.00
4853;pms5003;3628;6.559;3.386;2026-02-01T13:22:41.457892+00:00;P1;45.00
4853;pms5003;3628;6.559;3.386;2026-02-01T13:22:41.457892+00:00;P0;24.00
4854;DHT22;3628;6.559;3.386;2026-02-01T13:22:58.861907+00:00;humidity;58.20
4854;DHT22;3628;6.559;3.386;2026-02-01T13:22:58.861907+00:00;temperature;39.90
4853;pms5003;3628;6.559;3.386;2026-02-01T13:28:16.054530+00:00;P2;38.40
4853;pms5003;3628;6.559;3.386;2026-02-01T13:28:16.054530+00:00;P1;53.00
4853;pms5003;3628;6.559;3.386;2026-02-01T13:28:16.054530+00:00;P0;26.40
4854;DHT22;3628;6.559;3.386;2026-02-01T13:28:33.443326+00:00;humidity;60.70
4854;DHT22;3628;6.559;3.386;2026-02-01T13:28:33.443326+00:00;temperature;39.30
4854;DHT22;3628;6.559;3.386;2026-02-01T13:49:44.945184+00:00;humidity;61.30
4854;DHT22;3628;6.559;3.386;2026-02-01T13:49:44.945184+00:00;temperature;38.30
4853;pms5003;3628;6.559;3.386;2026-02-01T13:55:02.191575+00:00;P2;40.00
4853;pms5003;3628;6.559;3.386;2026-02-01T13:55:02.191575+00:00;P1;51.00
4853;pms5003;3628;6.559;3.386;2026-02-01T13:55:02.191575+00:00;P0;25.00
4853;pms5003;3628;6.559;3.386;2026-02-01T14:00:28.983175+00:00;P2;41.00
4853;pms5003;3628;6.559;3.386;2026-02-01T14:00:28.983175+00:00;P1;52.40
4853;pms5003;3628;6.559;3.386;2026-02-01T14:00:28.983175+00:00;P0;27.00
4854;DHT22;3628;6.559;3.386;2026-02-01T14:00:46.459086+00:00;humidity;61.00
4854;DHT22;3628;6.559;3.386;2026-02-01T14:00:46.459086+00:00;temperature;38.90
4853;pms5003;3628;6.559;3.386;2026-02-01T14:06:03.693169+00:00;P2;41.75
4853;pms5003;3628;6.559;3.386;2026-02-01T14:06:03.693169+00:00;P1;54.50
4853;pms5003;3628;6.559;3.386;2026-02-01T14:06:03.693169+00:00;P0;27.00
4854;DHT22;3628;6.559;3.386;2026-02-01T14:06:21.034504+00:00;humidity;61.80
4854;DHT22;3628;6.559;3.386;2026-02-01T14:06:21.034504+00:00;temperature;38.60
4853;pms5003;3628;6.559;3.386;2026-02-01T14:11:38.273773+00:00;P2;36.00
4853;pms5003;3628;6.559;3.386;2026-02-01T14:11:38.273773+00:00;P1;48.50
4853;pms5003;3628;6.559;3.386;2026-02-01T14:11:38.273773+00:00;P0;24.75
