sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4854;DHT22;3628;6.559;3.386;2025-12-01T00:02:26.374143+00:00;humidity;89.10
4854;DHT22;3628;6.559;3.386;2025-12-01T00:02:26.374143+00:00;temperature;30.30
4854;DHT22;3628;6.559;3.386;2025-12-01T00:08:00.971909+00:00;humidity;88.80
4854;DHT22;3628;6.559;3.386;2025-12-01T00:08:00.971909+00:00;temperature;30.40
4853;pms5003;3628;6.559;3.386;2025-12-01T00:13:18.385363+00:00;P2;39.50
4853;pms5003;3628;6.559;3.386;2025-12-01T00:13:18.385363+00:00;P1;49.00
4853;pms5003;3628;6.559;3.386;2025-12-01T00:13:18.385363+00:00;P0;25.75
4854;DHT22;3628;6.559;3.386;2025-12-01T00:13:35.715886+00:00;humidity;89.20
4854;DHT22;3628;6.559;3.386;2025-12-01T00:13:35.715886+00:00;temperature;30.30
4853;pms5003;3628;6.559;3.386;2025-12-01T00:24:06.029634+00:00;P2;43.00
4853;pms5003;3628;6.559;3.386;2025-12-01T00:24:06.029634+00:00;P1;51.00
4853;pms5003;3628;6.559;3.386;2025-12-01T00:24:06.029634+00:00;P0;29.00
4854;DHT22;3628;6.559;3.386;2025-12-01T00:24:23.379098+00:00;humidity;89.10
4854;DHT22;3628;6.559;3.386;2025-12-01T00:24:23.379098+00:00;temperature;30.30
4853;pms5003;3628;6.559;3.386;2025-12-01T05:43:11.644226+00:00;P2;41.50
4853;pms5003;3628;6.559;3.386;2025-12-01T05:43:11.644226+00:00;P1;53.00
4853;pms5003;3628;6.559;3.386;2025-12-01T05:43:11.644226+00:00;P0;26.50
4854;DHT22;3628;6.559;3.386;2025-12-01T05:43:32.039584+00:00;humidity;99.40
4854;DHT22;3628;6.559;3.386;2025-12-01T05:43:32.039584+00:00;temperature;28.60
4853;pms5003;3628;6.559;3.386;2025-12-01T05:48:49.226038+00:00;P2;42.00
4853;pms5003;3628;6.559;3.386;2025-12-01T05:48:49.226038+00:00;P1;53.00
4853;pms5003;3628;6.559;3.386;2025-12-01T05:48:49.226038+00:00;P0;27.00
4854;DHT22;3628;6.559;3.386;2025-12-01T05:49:06.607696+00:00;humidity;93.80
4854;DHT22;3628;6.559;3.386;2025-12-01T05:49:06.607696+00:00;temperature;29.80
4854;DHT22;3628;6.559;3.386;2025-12-01T09:45:50.694120+00:00;humidity;79.80
4854;DHT22;3628;6.559;3.386;2025-12-01T09:45:50.694120+00:00;temperature;33.00
4853;pms5003;3628;6.559;3.386;2025-12-01T09:51:07.926904+00:00;P2;34.00
4853;pms5003;3628;6.559;3.386;2025-12-01T09:51:07.926904+00:00;P1;40.00
4853;pms5003;3628;6.559;3.386;2025-12-01T09:51:07.926904+00:00;P0;22.00
4853;pms5003;3628;6.559;3.386;2025-12-01T10:00:54.810344+00:00;P2;40.00
4853;pms5003;3628;6.559;3.386;2025-12-01T10:00:54.810344+00:00;P1;48.50
4853;pms5003;3628;6.559;3.386;2025-12-01T10:00:54.810344+00:00;P0;26.50
4853;pms5003;3628;6.559;3.386;2025-12-01T10:51:44.448555+00:00;P2;42.60
4853;pms5003;3628;6.559;3.386;2025-12-01T10:51:44.448555+00:00;P1;54.20
4853;pms5003;3628;6.559;3.386;2025-12-01T10:51:44.448555+00:00;P0;28.00
4854;DHT22;3628;6.559;3.386;2025-12-01T10:52:01.701402+00:00;humidity;73.40
4854;DHT22;3628;6.559;3.386;2025-12-01T10:52:01.701402+00:00;temperature;34.60
4853;pms5003;3628;6.559;3.386;2025-12-01T10:57:19.017112+00:00;P2;40.33
4853;pms5003;3628;6.559;3.386;2025-12-01T10:57:19.017112+00:00;P1;53.67
4853;pms5003;3628;6.559;3.386;2025-12-01T10:57:19.017112+00:00;P0;27.33
4853;pms5003;3628;6.559;3.386;2025-12-01T11:02:42.749785+00:00;P2;41.20
4853;pms5003;3628;6.559;3.386;2025-12-01T11:02:42.749785+00:00;P1;53.20
