plot;trmt;tree;year;dia;ht;browse;dead;missing
P1;FENCE;1;2007;0,00;0,0;0;1;0
P1;FENCE;2;2007;8,70;47,0;0;0;0
P1;FENCE;3;2007;6,70;65,0;0;0;0
P1;FENCE;4;2007;7,60;41,0;0;0;0
P1;FENCE;5;2007;6,20;26,0;0;0;0
P1;FENCE;6;2007;4,90;33,0;0;0;0
P1;FENCE;7;2007;9,20;46,0;0;0;0
P1;FENCE;8;2007;8,30;45,0;0;0;0
P1;FENCE;9;2007;6,30;46,0;0;0;0
P1;FENCE;10;2007;8,50;62,0;0;0;0
P1;FENCE;11;2007;8,00;50,0;0;0;0
P1;FENCE;12;2007;0,00;0,0;0;1;0
P1;FENCE;13;2007;4,40;41,0;0;0;0
P1;FENCE;14;2007;8,00;55,0;0;0;0
P1;FENCE;15;2007;5,90;41,0;0;0;0
P1;FENCE;16;2007;9,10;48,0;0;0;0
P1;FENCE;17;2007;4,50;34,0;0;0;0
P1;FENCE;18;2007;9,80;39,0;0;0;0
P1;FENCE;19;2007;5,20;35,0;0;0;0
P1;FENCE;20;2007;5,50;28,0;0;0;0
P1;FENCE;21;2007;7,60;38,0;0;0;0
P1;FENCE;22;2007;7,60;58,0;0;0;0
P1;FENCE;23;2007;7,20;31,0;0;0;0
P1;FENCE;24;2007;0,00;0,0;0;1;0
P1;FENCE;25;2007;6,30;47,0;0;0;0
P1;FENCE;26;2007;7,40;43,0;0;0;0
P1;FENCE;27;2007;3,40;22,0;0;0;0
P1;FENCE;28;2007;0,00;0,0;0;1;0
P1;FENCE;29;2007;7,70;53,0;0;0;0
P2;FENCE;1;2007;6,60;31,0;0;0;0
P2;FENCE;2;2007;5,00;27,0;0;0;0
P2;FENCE;3;2007;2,40;8,0;0;0;0
P2;FENCE;4;2007;6,20;18,0;0;0;0
P2;FENCE;5;2007;6,40;21,0;0;0;0
P2;FENCE;6;2007;5,30;44,0;0;0;0
P2;FENCE;7;2007;6,40;36,0;0;0;0
P2;FENCE;8;2007;4,70;34,0;0;0;0
P2;FENCE;9;2007;5,60;34,0;0;0;0
P2;FENCE;10;2007;6,70;38,0;0;0;0
P2;FENCE;11;2007;7,50;29,0;0;0;0
P2;FENCE;12;2007;5,10;13,0;0;0;0
P2;FENCE;13;2007;5,20;35,0;0;0;0
P2;FENCE;14;2007;6,90;43,0;0;0;0
P2;FENCE;15;2007;4,70;43,0;0;0;0
P2;FENCE;16;2007;5,30;16,0;0;0;0
P2;FENCE;17;2007;5,10;36,0;0;0;0
P2;FENCE;18;2007;5,40;36,0;0;0;0
P2;FENCE;19;2007;4,10;18,0;0;0;0
P2;FENCE;20;2007;4,90;30,0;0;0;0
P2;FENCE;21;2007;5,30;41,0;0;0;0
P2;FENCE;22;2007;6,00;16,0;0;0;0
P2;FENCE;23;2007;0,00;0,0;0;1;0
P2;FENCE;24;2007;6,40;54,0;0;0;0
P2;FENCE;25;2007;5,00;40,0;0;0;0
P2;FENCE;26;2007;5,50;43,0;0;0;0
P2;FENCE;27;2007;9,50;59,0;0;0;0
P2;FENCE;28;2007;9,20;61,0;0;0;0
P2;FENCE;29;2007;6,20;41,0;0;0;0
P3;FENCE;1;2007;6,10;51,0;0;0;0
P3;FENCE;2;2007;6,70;44,0;0;0;0
P3;FENCE;3;2007;5,70;32,0;0;0;0
P3;FENCE;4;2007;7,00;31,0;0;0;0
P3;FENCE;5;2007;5,90;33,0;0;0;0
P3;FENCE;6;2007;8,20;34,0;0;0;0
P3;FENCE;7;2007;4,10;24,0;0;0;0
P3;FENCE;8;2007;4,00;12,0;0;0;0
P3;FENCE;9;2007;6,40;43,0;0;0;0
P3;FENCE;10;2007;8,20;50,0;0;0;0
P3;FENCE;11;2007;5,90;36,0;0;0;0
P3;FENCE;12;2007;5,00;48,0;0;0;0
P3;FENCE;13;2007;6,50;44,0;0;0;0
P3;FENCE;14;2007;6,60;38,0;0;0;0
P3;FENCE;15;2007;8,10;43,0;0;0;0
P3;FENCE;16;2007;7,80;36,0;0;0;0
P3;FENCE;17;2007;5,40;19,0;0;0;0
P3;FENCE;18;2007;6,10;32,0;0;0;0
P3;FENCE;19;2007;9,40;47,0;0;0;0
P3;FENCE;20;2007;6,90;39,0;0;0;0
P3;FENCE;21;2007;4,10;29,0;0;0;0
P3;FENCE;22;2007;5,60;35,0;0;0;0
P3;FENCE;23;2007;6,80;34,0;0;0;0
P3;FENCE;24;2007;6,50;26,0;0;0;0
P3;FENCE;25;2007;4,80;28,0;0;0;0
P3;FENCE;26;2007;6,00;30,0;0;0;0
